,Week,Team,Player,Slot,Pos,Status,Proj,Actual
286,3,4,Ezekiel Elliott,2,RB,ACTIVE,23.444226294,15.9
287,3,4,Keenan Allen,4,WR,ACTIVE,17.1109194001,43.6
288,3,4,Dalvin Cook,2,RB,ACTIVE,18.792107404,24.3
289,3,4,Kenny Golladay,4,WR,ACTIVE,14.6645610112,3.7
290,3,4,A.J. Green,20,Bench,QUESTIONABLE,0.0,0.0
291,3,4,Josh Gordon,20,Bench,OUT,11.896571626999998,14.4
292,3,4,Russell Wilson,0,QB,ACTIVE,17.982963308,41.34
293,3,4,Stephen Gostkowski,17,K,QUESTIONABLE,9.114625597,6.0
294,3,4,Leonard Fournette,23,Flex,QUESTIONABLE,16.579843449,15.200000000000001
295,3,4,Darren Waller,6,TE,QUESTIONABLE,10.666284803,27.1
296,3,4,Josh Allen,20,Bench,ACTIVE,19.405240198,18.32
297,3,4,49ers D/ST,16,Def,NA,8.434621105999998,8.0
298,3,4,Greg Olsen,20,Bench,ACTIVE,9.897533552,25.5
299,3,4,Carson Wentz,20,Bench,QUESTIONABLE,17.074183956,21.66
300,3,5,James Conner,2,RB,QUESTIONABLE,14.581324006000001,7.7
301,3,5,Julio Jones,4,WR,ACTIVE,17.3492707686,26.8
302,3,5,Adam Thielen,4,WR,ACTIVE,14.320005122000001,20.6
303,3,5,Josh Jacobs,20,Bench,QUESTIONABLE,12.790248784,4.4
304,3,5,Mark Ingram II,2,RB,ACTIVE,11.078346492,35.5
305,3,5,Mike Williams,20,Bench,ACTIVE,11.876384776700002,7.5
306,3,5,Evan Engram,6,TE,QUESTIONABLE,11.9768892287,23.3
307,3,5,David Montgomery,20,Bench,ACTIVE,12.369610124000003,11.1
308,3,5,Jaguars D/ST,16,Def,NA,7.683024770000001,15.0
309,3,5,Jake Elliott,17,K,ACTIVE,8.002035895,6.0
310,3,5,Lamar Jackson,0,QB,ACTIVE,21.064347058,21.28
311,3,5,Justin Jackson,20,Bench,ACTIVE,8.577949933000001,7.0
312,3,5,John Ross III,23,Flex,ACTIVE,11.8325066487,2.2
313,3,5,Robert Woods,4,WR,ACTIVE,12.7636435111,8.8
314,3,5,Kenyan Drake,20,Bench,ACTIVE,10.642729736999998,8.200000000000001
315,3,6,Todd Gurley II,2,RB,ACTIVE,14.852925944,4.3
316,3,6,Michael Thomas,4,WR,ACTIVE,17.343312115,16.4
317,3,6,Patrick Mahomes,0,QB,ACTIVE,22.64864629,27.86
318,3,6,Amari Cooper,4,WR,ACTIVE,13.8567456515,26.8
319,3,6,Cooper Kupp,23,Flex,ACTIVE,13.885278587200002,33.1
320,3,6,Chris Carson,2,RB,QUESTIONABLE,16.003507438,4.0
321,3,6,Sammy Watkins,4,WR,ACTIVE,15.0172399326,11.4
322,3,6,Jared Cook,6,TE,ACTIVE,8.875114756,1.7000000000000002
323,3,6,Bills D/ST,20,Bench,NA,8.984726548,12.0
324,3,6,Wil Lutz,17,K,ACTIVE,6.3613462510000005,3.0
325,3,6,Devonta Freeman,20,Bench,ACTIVE,13.502430682,12.5
326,3,6,Devin Singletary,20,Bench,ACTIVE,0.0,0.0
327,3,6,Patriots D/ST,16,Def,NA,11.51922982,15.0
328,3,6,John Brown,20,Bench,ACTIVE,10.834245784999998,9.5
329,3,6,Miles Sanders,20,Bench,QUESTIONABLE,10.687802941,12.600000000000001
330,3,7,Christian McCaffrey,2,RB,ACTIVE,23.466457561,27.8
331,3,7,JuJu Smith-Schuster,4,WR,ACTIVE,15.034336871,17.1
332,3,7,Kerryon Johnson,20,Bench,ACTIVE,13.233090815000004,11.299999999999999
333,3,7,Tyler Boyd,20,Bench,ACTIVE,13.5489094946,12.8
334,3,7,Matt Ryan,20,Bench,ACTIVE,17.8771507141,22.46
335,3,7,Stefon Diggs,4,WR,ACTIVE,12.4774577191,4.5
336,3,7,Duke Johnson,20,Bench,ACTIVE,10.334335258,4.4
337,3,7,Kyler Murray,0,QB,ACTIVE,16.753782121999997,17.82
338,3,7,Joe Mixon,20,Bench,ACTIVE,13.168240498,17.4
339,3,7,Odell Beckham Jr.,4,WR,QUESTIONABLE,18.419193139400004,11.600000000000001
340,3,7,Larry Fitzgerald,23,Flex,ACTIVE,13.336768389,14.6
341,3,7,Titans D/ST,16,Def,NA,8.667032062999999,2.0
342,3,7,Robbie Gould,17,K,ACTIVE,8.609038074,6.0
343,3,7,Phillip Lindsay,2,RB,QUESTIONABLE,13.131683805,29.0
344,3,7,Delanie Walker,6,TE,QUESTIONABLE,9.664207272,13.4
345,3,8,David Johnson,2,RB,ACTIVE,18.287131000000002,18.5
346,3,8,Davante Adams,4,WR,ACTIVE,16.193672265999997,9.600000000000001
347,3,8,Nick Chubb,2,RB,ACTIVE,17.773133740000006,17.1
348,3,8,Damien Williams,20,Bench,ACTIVE,0.0,0.0
349,3,8,Alshon Jeffery,20,Bench,QUESTIONABLE,0.0,0.0
350,3,8,Aaron Rodgers,0,QB,ACTIVE,17.866375276,13.3
351,3,8,Christian Kirk,20,Bench,ACTIVE,12.746935308500001,15.9
352,3,8,Ka'imi Fairbairn,17,K,ACTIVE,7.659157206,2.0
353,3,8,Vikings D/ST,16,Def,NA,7.723403681000001,8.0
354,3,8,Michael Gallup,20,Bench,ACTIVE,0.0,0.0
355,3,8,LeSean McCoy,23,Flex,ACTIVE,11.879122123,23.0
356,3,8,Mark Andrews,20,Bench,ACTIVE,12.725002466000001,4.5
